Route Number,Origin,Destination,Toll Fee / Fare (Rs.),Revised Date
EX02/EX04/602,Makumbura,Kandy,980,03/24/2026
EX02/EX04/602-1,Makumbura,Matale,1090,03/24/2026
EX03/EX04,Colombo,Kurunegala,770,03/24/2026
EX03/EX04/602,Colombo,Kandy,1000,03/24/2026
EX 1-12/32,Colombo,Kataragama,1700,03/24/2026
EX 1-16,Colombo,Elpitiya,630,03/24/2026
EX 1-41,Colombo,Ambalangoda,670,03/24/2026
EX 1-48,Kadawatha,Ambalangoda,660,03/24/2026
EX 1-52/35-2,Colombo,Monaragala,1940,03/24/2026
EX 1-60,Colombo,Akkaraipattu,2570,03/24/2026
EX 1-62/35,Colombo,Ampara,2490,03/24/2026
EX 1-74/31-2,Makumbura,Badulla,1970,03/24/2026
EX01,Makumbura,Galle,870,03/24/2026
EX01-001,Makumbura,Matara,1080,03/24/2026
EX 1-2,Kaduwela,Matara,1170,03/24/2026
EX01/EX03,Matara,Katunayake,1395,03/24/2026
EX01/EX03,Matara,Negombo,1460,03/24/2026
EX01/EX03/EX04,Galle,Kurunegala,1410,03/24/2026
EX01/EX03/EX04,Galle,Kurunegala,1740,03/24/2026
EX01/EX04,Kurunegala,Galle,1590,03/24/2026
EX01/EX04/49,Matara,Trincomalee,3150,03/24/2026
EX 1-5/26,Colombo,Matara,1230,03/24/2026
EX 1-5/26,Colombo,Tihagoda,1285,03/24/2026
EX 1-5/26,Colombo,Hakmana,1400,03/24/2026
EX 1-7/26,Colombo,Matara,1230,03/24/2026
EX 1-7/26,Colombo,Hakmana,1400,03/24/2026
EX 1-7/26,Colombo,Walasmulla,1500,03/24/2026
EX 1-7/26,Colombo,Middeniya,1690,03/24/2026
EX 1-9/211,Colombo,Embilipitiya,1680,03/24/2026
EX 1-10/60,Colombo,Imaduwa,1070,03/24/2026
EX 1-10/60,Colombo,Akuressa,1170,03/24/2026
EX 1-11/32,Colombo,Beliatta,1385,03/24/2026
EX 1-11/32,Colombo,Tangalle,1455,03/24/2026
EX 1-11/32,Colombo,Weeraketiya,1550,03/24/2026
EX 1-12/32,Colombo,Ranna,1520,03/24/2026
EX 1-12/32,Colombo,Ambalantota,1635,03/24/2026
EX 1-12/32,Colombo,Hambantota,1765,03/24/2026
EX 1-12/32,Colombo,Tissamaharama,1970,03/24/2026
EX 1-12/32,Colombo,Kataragama,2110,03/24/2026
EX 1-13/353,Colombo,Matara,1230,03/24/2026
